日付,球場,ホーム球団,ビジター球団,ホーム得点,ビジター得点,ホーム安打,ビジター安打,ホーム失策,ビジター失策,ホームラン数（ホーム）,ホームラン数（ビジター）,イニング別得点（ホーム(ビジター)）,観客動員数,URL
2026年4月23日（木）,マツダスタジアム,広島東洋カープ広島,東京ヤクルトスワローズヤクルト,0,2,7,9,1,0,0,0,"0(0),0(0),0(0),0(0),0(2),0(0),0(0),0(0),0(0)",26027,https://npb.jp/scores/2026/0423/c-s-05/
2026年4月23日（木）,横　浜,横浜DeNAベイスターズDeNA,阪神タイガース阪神,,,,,,,0,0,"(),(),(),(),(),(),(),(),()",0,https://npb.jp/scores/2026/0423/db-t-06/
2026年4月23日（木）,エスコンＦ,北海道日本ハムファイターズ日本ハム,東北楽天ゴールデンイーグルス楽天,2,3,9,11,0,1,0,0,"0(0),0(0),0(0),1(1),0(0),1(2),0(0),0(0),0(0)",28251,https://npb.jp/scores/2026/0423/f-e-06/
2026年4月23日（木）,ベルーナドーム,埼玉西武ライオンズ西武,福岡ソフトバンクホークスソフトバンク,3,4,9,9,0,1,0,0,"0(0),0(0),0(0),0(0),1(1),0(0),0(1),1(2),1(0)",22859,https://npb.jp/scores/2026/0423/l-h-06/
2026年4月23日（木）,ZOZOマリン,千葉ロッテマリーンズロッテ,オリックス・バファローズオリックス,,,,,,,0,0,"(),(),(),(),(),(),(),(),()",0,https://npb.jp/scores/2026/0423/m-b-06/
2026年4月24日（金）,京セラD大阪,オリックス・バファローズオリックス,北海道日本ハムファイターズ日本ハム,3,2,7,5,0,0,0,0,"0(1),0(0),0(0),0(0),0(0),0(0),3(0),0(0),x(1)",28715,https://npb.jp/scores/2026/0424/b-f-04/
2026年4月24日（金）,バンテリンドーム,中日ドラゴンズ中日,東京ヤクルトスワローズヤクルト,6,4,10,8,1,0,0,0,"0(0),1(0),0(1),0(2),0(0),2(0),0(0),0(1),3x(0)",34199,https://npb.jp/scores/2026/0424/d-s-04/
2026年4月24日（金）,横　浜,横浜DeNAベイスターズDeNA,読売ジャイアンツ巨人,2,1,11,4,0,0,0,0,"0(0),0(0),0(0),0(1),0(0),0(0),0(0),1(0),0(0)",33481,https://npb.jp/scores/2026/0424/db-g-04/
2026年4月25日（土）,京セラD大阪,オリックス・バファローズオリックス,北海道日本ハムファイターズ日本ハム,4,2,11,5,0,1,0,0,"1(0),0(0),0(0),0(0),2(1),1(0),0(1),0(0),x(0)",32940,https://npb.jp/scores/2026/0425/b-f-05/
2026年4月25日（土）,バンテリンドーム,中日ドラゴンズ中日,東京ヤクルトスワローズヤクルト,5,2,4,6,1,1,0,0,"0(0),4(0),0(0),0(0),1(0),0(0),0(0),0(2),x(0)",35665,https://npb.jp/scores/2026/0425/d-s-05/
2026年4月25日（土）,横　浜,横浜DeNAベイスターズDeNA,読売ジャイアンツ巨人,2,7,5,11,0,0,0,0,"0(1),0(1),2(5),0(0),0(0),0(0),0(0),0(0),0(0)",33518,https://npb.jp/scores/2026/0425/db-g-05/
2026年4月25日（土）,楽天モバイル,東北楽天ゴールデンイーグルス楽天,埼玉西武ライオンズ西武,7,9,9,14,1,1,0,0,"2(2),0(0),0(2),3(0),0(1),0(0),0(0),2(4),0(0)",24812,https://npb.jp/scores/2026/0425/e-l-04/
2026年4月25日（土）,熊　本,福岡ソフトバンクホークスソフトバンク,千葉ロッテマリーンズロッテ,0,5,6,8,0,1,0,0,"0(0),0(4),0(0),0(1),0(0),0(0),0(0),0(0),0(0)",14258,https://npb.jp/scores/2026/0425/h-m-04/
2026年4月25日（土）,甲子園,阪神タイガース阪神,広島東洋カープ広島,2,2,10,10,0,1,0,0,"1(1),0(0),0(0),0(0),0(0),0(0),0(0),1(0),0(1)",42623,https://npb.jp/scores/2026/0425/t-c-04/
2026年4月26日（日）,京セラD大阪,オリックス・バファローズオリックス,北海道日本ハムファイターズ日本ハム,9,4,9,4,0,1,0,0,"3(2),0(0),2(0),4(0),0(0),0(0),0(0),0(2),x(0)",30990,https://npb.jp/scores/2026/0426/b-f-06/
2026年4月26日（日）,バンテリンドーム,中日ドラゴンズ中日,東京ヤクルトスワローズヤクルト,3,0,9,5,0,1,0,0,"0(0),0(0),0(0),0(0),1(0),0(0),0(0),2(0),x(0)",36680,https://npb.jp/scores/2026/0426/d-s-06/
2026年4月26日（日）,横　浜,横浜DeNAベイスターズDeNA,読売ジャイアンツ巨人,1,4,3,10,2,1,0,0,"0(0),0(1),0(0),0(1),0(0),1(0),0(0),0(2),0(0)",33570,https://npb.jp/scores/2026/0426/db-g-06/
2026年4月26日（日）,楽天モバイル,東北楽天ゴールデンイーグルス楽天,埼玉西武ライオンズ西武,0,3,5,11,1,0,0,0,"0(0),0(0),0(0),0(0),0(0),0(0),0(0),0(0),0(0)",24695,https://npb.jp/scores/2026/0426/e-l-05/
2026年4月26日（日）,鹿児島,福岡ソフトバンクホークスソフトバンク,千葉ロッテマリーンズロッテ,0,1,0,1,0,0,0,0,"0(1),0x(0),(),(),(),(),(),(),()",0,https://npb.jp/scores/2026/0426/h-m-05/
2026年4月26日（日）,甲子園,阪神タイガース阪神,広島東洋カープ広島,1,0,2,5,1,0,0,0,"0(0),0(0),0(0),1(0),0(0),0(0),0(0),0(0),x(0)",42611,https://npb.jp/scores/2026/0426/t-c-05/
2026年4月28日（火）,京セラD大阪,オリックス・バファローズオリックス,福岡ソフトバンクホークスソフトバンク,1,7,5,12,0,0,0,0,"0(0),1(0),0(0),0(0),0(0),0(0),0(1),0(3),0(3)",30834,https://npb.jp/scores/2026/0428/b-h-04/
2026年4月28日（火）,バンテリンドーム,中日ドラゴンズ中日,横浜DeNAベイスターズDeNA,3,0,9,5,0,0,0,0,"0(0),1(0),0(0),2(0),0(0),0(0),0(0),0(0),x(0)",34707,https://npb.jp/scores/2026/0428/d-db-03/
2026年4月28日（火）,東京ドーム,読売ジャイアンツ巨人,広島東洋カープ広島,1,11,3,18,0,0,0,0,"0(0),0(0),0(2),0(0),0(4),1(0),0(1),0(0),0(4)",42058,https://npb.jp/scores/2026/0428/g-c-03/
2026年4月28日（火）,ベルーナドーム,埼玉西武ライオンズ西武,北海道日本ハムファイターズ日本ハム,1,2,1,5,1,1,0,0,"1(0),0(0),0(0),0(0),0(1),0(0),0(0),0(0),0(1)",26010,https://npb.jp/scores/2026/0428/l-f-04/
2026年4月28日（火）,ZOZOマリン,千葉ロッテマリーンズロッテ,東北楽天ゴールデンイーグルス楽天,3,1,9,4,0,0,0,0,"0(0),0(0),0(0),0(0),1(0),2(0),0(0),0(0),x(1)",25093,https://npb.jp/scores/2026/0428/m-e-04/
2026年4月28日（火）,神　宮,東京ヤクルトスワローズヤクルト,阪神タイガース阪神,10,5,12,9,1,1,0,0,"0(0),6(0),0(0),0(3),0(1),1(0),3(0),0(0),x(1)",29328,https://npb.jp/scores/2026/0428/s-t-04/
2026年4月29日（水）,京セラD大阪,オリックス・バファローズオリックス,福岡ソフトバンクホークスソフトバンク,5,4,10,8,0,1,0,0,"0(0),1(0),1(0),1(0),0(0),0(3),0(1),2(0),x(0)",35589,https://npb.jp/scores/2026/0429/b-h-05/
2026年4月29日（水）,バンテリンドーム,中日ドラゴンズ中日,横浜DeNAベイスターズDeNA,2,4,6,7,0,0,0,0,"1(0),0(1),0(0),1(0),0(1),0(0),0(2),0(0),0(0)",36664,https://npb.jp/scores/2026/0429/d-db-04/
2026年4月29日（水）,東京ドーム,読売ジャイアンツ巨人,広島東洋カープ広島,4,2,8,6,0,0,0,0,"0(0),4(0),0(0),0(0),0(2),0(0),0(0),0(0),x(0)",42142,https://npb.jp/scores/2026/0429/g-c-04/
2026年4月29日（水）,ベルーナドーム,埼玉西武ライオンズ西武,北海道日本ハムファイターズ日本ハム,3,0,6,5,1,1,0,0,"0(0),0(0),0(0),1(0),2(0),0(0),0(0),0(0),x(0)",27572,https://npb.jp/scores/2026/0429/l-f-05/
2026年4月29日（水）,ZOZOマリン,千葉ロッテマリーンズロッテ,東北楽天ゴールデンイーグルス楽天,5,3,8,8,0,0,0,0,"1(0),0(0),0(2),2(0),2(0),0(0),0(1),0(0),x(0)",28034,https://npb.jp/scores/2026/0429/m-e-05/
2026年4月29日（水）,神　宮,東京ヤクルトスワローズヤクルト,阪神タイガース阪神,0,2,3,8,1,0,0,0,"0(0),0(0),0(1),0(0),0(0),0(1),0(0),0(0),0(0)",29328,https://npb.jp/scores/2026/0429/s-t-05/
